ISBN-10,ISBN-13,タイトル,著者,出版社,出版日,書齢,定価,価格（新品）,在庫数（新品）,価格（非常によい）,在庫数（非常によい）,価格（良い）,在庫数（良い）,価格（キズや使用感あり）,在庫数（キズや使用感あり）,内容,ジャンル,言語,本の長さ,版型
"4777027538","9784777027538","北欧雑貨図鑑 スウェーデン100 (NEKO MOOK)","","ネコ・パブリッシング","2024-01-31","2年","1760","","","","","","","","","日常のあらゆるところに溶け込み、暮らしを快適にしてくれるデザイン。近年では SDGs先進国としてサステナブルなデザインが注目されているスウェーデン。本誌では名作を生み出したスウェーデン生まれのデザイナーから、100年以上の歴史をもつ老舗ブランド、気鋭の若手デザイナーを起用した新規参入のブランドまで、日本でも人気の高い選りすぐりの100件を編集し、資料性の高い本として届けます。さらに巻末では、国内の北欧雑貨やインテリアショップ情報をまとめて記載します。

◆コンテンツ
北欧雑貨図鑑 スウェーデン100
Chapter 1　スウェーデンを代表する往年のデザイナー
Chapter 2　スウェーデン発・注目のブランド
Chapter 3　現代活躍するスウェーデン出身デザイナー
Chapter 4　スウェーデンで活躍する日本人デザイナー

Column
・Lindberg's Versatile talents
リンドベリの多彩な才能
・みんなのためのデザインとなっていった
スウェーデンデザインの歴史と現在
・スウェーデンのインクルーシブデザイン

Interview
・Front フロント
・Bernadotte &amp; Kylberg ベルナドッテ＆キルバーグ
・Marie-Louise Hellgren マリールイス・ヘルグレン
 
Topics
・スウェーデンで最も著名なトレンドハンター　Stefan Nilsson ステファン・ニルソン

Recipe
・スウェーデンのお菓子４種
・スウェーデンのデザインスポットを巡る
・北欧インテリアShop Guide
・ご協力企業＆ショップ一覧

Special Thanks to Stig Lindberg
カバーデザインは、スティグ・リンドベリがテキスタイルのためにデザインした「HERBARIUM / ハーバリウム」。植物標本を意味する名前の通り、北欧の植物たちが標本のように集まった美しいパターンです。デザイナー、ブランドなど日本でも人気の高い選りすぐりの100件を編集し、資料性の高い本として届けます。","家事","jpn","196","A5"
"4391132249","9784391132243","サンクの本","保里享子 著","主婦と生活社","2006-06","19年","2200","","","694","2","650","2","","","北欧の雑貨を中心としたセレクトショップのサンク。そのオーナーの選ぶ、生活雑貨・道具のカタログ。カゴから陶器、作家ものまで、どれも使い勝手がよく、デザイン性の高いものばかり。写真集としても楽しめる１冊。","家事","jpn","111","A4"
"4309761542","9784309761541","図説北欧の建築遺産 (ふくろうの本)","伊藤大介 著","河出書房新社","2010-12","15年","1980","","","","","","","","","ヴァイキング住居、中世の木造教会、ナショナル・ロマンティシズム建築、北欧モダニズムの建築家、アスプルンド、アールト、ヤコブセン…。都市や建築に宿る魅力的な個性。北欧精神の真髄に迫る書。","建築","jpn","151","A5"
"4573601317","9784573601314","日々、機微。 積み重ねた時間がつむぐ“あなたらしい”暮らし","SEKISUI HOUSE life knit design project 著","ハースト婦人画報社","2023-07-31","2年","1760","","","511","1","476","2","336","1","日々、機微。積み重ねた時間がつむぐ ”あなたらしい” 暮らし

自分らしい暮らしってなんだろう。そんな問いから生まれた、
愛着をつむぐ暮らしの手がかりを集めた
書籍「日々、機微。」
他の誰ともちがう、あなたらしい暮らしのヒントを
この本で探してみませんか。


Chapter1 暮らし方は、人の数だけあっていい。

一歩足を踏み込むと感じるその人の、その家族の暮らしぶり。
ひとつとして、同じものはない。そのどれもが、らしさに満ちている。
人の数だけ、いろいろな暮らしがある。


Chapter2 かたちのない暮らしを、かたちづくるもの。

あたりまえに続いていく日常のなかで、自分の暮らしについて考える機会って、
どのくらいあっただろう。ちょっとだけ立ち止まって、
そんな時間をつくってみる。自分がしたい暮らしのかたちは、
どんなだろう。

・「min? perhonen（ミナ ペルホネン）」デザイナー
皆川 明さんによる「生きるを活かす」コラム収録

・「北欧、暮らしの道具店」店長 佐藤 友子さんインタビュー掲載


Chapter３ 自分らしい暮らしの手がかり -日々の中にある、46のヒント-

どんなことでもいい。何に心が動くか。何がうれしいか。
何にこだわりたいか。自分が大切にしていきたいもの、
心地よいと感じるものを、想像してみる。それが、自分らしい暮らしを
始めるきっかけをくれるはず。日々、機微。     積み重ねた時間がつむぐ?あなたらしい“暮らし","建築","jpn","112","B5"
"4344970209","9784344970205","自然素材でつくる50年後も価値ある家","考建研究所 著","幻冬舎メディアコンサルティング","2013-10-31","12年","1320","","","532","1","","","","","木、漆喰、石…。自然素材でつくる家の魅力や、素材特性を美しいビジュアルとイラストで解説。取材を通して、本物志向のライフスタイルについても紹介する。５０年後も価値のある家づくりのノウハウをまとめた１冊。","建築","jpn","119","B5"
"4274224619","9784274224614","ELEMENTS","石川素樹 著","オーム社","2019-11-18","6年","2420","","","","","","","","","5つの建築の断片を通して、設計する前に考えるべきことを凝縮し問いかける。
5つの建築の断片を通して、建築を設計する前に考えるべき大事なことを凝縮し問いかける、エッセイ仕立ての読み物である。
一般の人にとっては、建築が作られる過程で設計者が何を考えているかを知ることができる本であり、学生や設計者にとっては、建築が時間が経てもなお色褪せずに建ち続けることができる方法を考え続けるための入門書である。


世界三大デザイン賞の一つ「iF DESIGN AWARD 2019」（Architecture部門）にてGOLD AWARD受賞、「A’Design Award &amp; Competition 2019（Architecture部門）」にて最優秀のGOLD受賞など、国内外から注目を集める建築家・石川素樹による、初の著書。5つの建築の断片を通して、建築を設計する前に考えるべき大事なことを凝縮し問いかける、エッセイ。","建築","jpn","160","46"
"4887062524","9784887062528","「光の家具」照明","坂川栄治 著","TOTO出版","2005-07-10","20年","1650","","","759","1","","","519","2","今までの照明を「リ＝ライト」して、もっと上質な居心地の良さを作ろう。人気装丁家が綴る、照明で演出する空間づくり。豊かなくつろぎを手に入れるための明かりの使い方と考え方がいっぱい。","日本文学・評論・随筆・その他","jpn","173","A5"
"4894445778","9784894445772","旅のコラージュ","les deux 著","ピエ・ブックス","2007-02","19年","1848","","","","","","","","","北欧や東欧、ロシア文化の影響を受けているエストニア・ラトヴィア・リトアニア。この国々の魅力を、現地で買いつけたかわいい雑貨とともに紹介。素朴で温かな雑貨と暮らしが詰まった１冊。","芸術総記","jpn","112","A5"
"4887062605","9784887062603","デザインの輪郭","深澤直人 著","TOTO出版","2005-12-01","20年","1980","","","842","2","1084","1","810","2","数々のヒット商品を生んだトップデザイナー・深澤直人の初の書き下ろしエッセイ集。デザイナーとしての自身の歩み、学んだことなど、様々な視点を通して「デザインとは」という根本的な問いに答えようとする意欲作。","写真・工芸","jpn","295","B6"
"4104350036","9784104350032","住宅読本","中村好文 著","新潮社","2004-06-20","21年","4400","","","","","1814","1","","","手ざわり、台所、家具、明かり…。「住宅名人」の建築家が考え抜いた「居心地のいい住まい」のための１２の条件を、約７０点の写真やイラストで解説。住宅を「暮らしの内側から」考えた待望の書。","建築","jpn","128","B5"
