対応ID,顧客ID,対応日時,対応種別,担当者,内容,ステータス
I001,C001,2025-12-15 10:30:00,買取,山田,哲学書30冊の買取査定を実施。状態良好のため高額査定,完了
I002,C001,2025-12-10 14:20:00,問合せ,佐々木,次回買取の集荷日程について確認,完了
I003,C002,2025-12-28 09:15:00,買取,山田,美術書・写真集50冊を買取。希少本2冊を発見,完了
I004,C002,2025-12-20 16:45:00,問合せ,鈴木,海外発送について質問。現在対応不可と回答,完了
I005,C003,2025-11-03 11:00:00,買取,佐々木,ビジネス書20冊。一部書き込みありで減額,完了
I006,C004,2025-12-20 13:30:00,買取,山田,児童書・絵本40冊を買取。人気作品多数,完了
I007,C004,2025-12-18 10:00:00,クレーム,鈴木,前回の査定金額について確認希望。説明後納得,解決済
I008,C005,2025-10-05 15:20:00,買取,佐々木,文庫本15冊。状態普通,完了
I009,C006,2025-12-30 09:00:00,買取,山田,古典文学全集・稀覯本の大量買取。特別査定実施,完了
I010,C006,2025-12-25 11:30:00,VIP対応,鈴木,年末特別企画のご案内。専用集荷を手配,完了
I011,C007,2025-09-18 14:00:00,買取,佐々木,漫画セット25冊。完結セットで査定アップ,完了
I012,C008,2025-12-22 10:45:00,買取,山田,建築・デザイン書35冊。専門書で高評価,完了
I013,C009,2025-08-25 16:00:00,買取,佐々木,小説10冊。一般的な査定,完了
I014,C010,2025-12-18 11:15:00,買取,山田,料理本・ライフスタイル本45冊を買取,完了
I015,C010,2025-12-15 09:30:00,問合せ,鈴木,ポイント残高と利用方法について説明,完了



